16/01,Fast Correction,791,943
16/02,GEO Nav,796,817
16/03,IGP Delay,880,101
16/07,LTC,795,855
16/12,Ext Mode Msg,205,338
16/13,GEO Broadcast,720,783
16/14,GEO Measurements,721,795
16/15,GPS Measurements,731,822
16/16,GUS Cntl Loop Lock,97,207
16/18,L1/L2 Bias,216,957
16/19,Message Output Msg,243,280
16/23,Sel CV Cntl Src,695,803
16/26,WRE PA Msg,720,784
16/27,Sub Frame Data,915,271
16/28,Thread Switch Msg,201,947
16/36,Subframe 1 CRC,828,694
16/37,Subframe 2 CRC,826,715
16/38,Subframe 3 CRC,825,718
16/41,RG3D Msg,916,822
16/42,RG3E Msg,824,503
02/03,SP Perf Data,560,631
02/08,LRU Data,940,952
02/13,MSG Mode,699,771
19/15,GEO Test MSG,91,128
19/17,Current WAAS Mode,91,128
21/22,Clock Bias Delta,934,10
23/05,MSG Val Status,720,784
26/06,WAAS User Msg,240,281
26/37,GIVE Report,446,514
